GEOID,obesity_cr
36047019500,22.4
36047120200,22.8
36047054900,20.4
36047068600,21.6
36081043900,32.6
36061024700,23.3
36061003400,19.7
36005011800,20.8
6037103101,24.7
6037190801,31.5
36047051800,24.8
6037106645,22.3
36081013600,23.8
36047100600,29.9
36047002000,27.8
6037217200,29.1
36047051900,17.7
36081009400,26.0
36005025100,34.3
36085014100,31.6
36047095400,29.3
36047043000,22.2
6037222100,31.3
36085009602,27.8
36081025302,23.7
36047016500,17.5
36047024900,27.6
36061003601,20.9
6037203100,33.9
36061003800,16.1
36005033700,20.1
36047020800,18.8
36085030302,31.6
6037189902,22.5
6037117303,24.0
36081005200,25.0
6037125320,26.9
36047075200,17.6
6037215101,20.4
36081141700,18.5
36005021301,33.5
36047083800,29.1
36047042800,20.5
6037109601,24.9
36081001400,26.7
6037189101,21.5
6037183520,30.8
36047046400,25.4
36047076400,28.0
36047089600,33.4
36081120500,21.7
36081011300,22.4
36081067100,22.3
36081124700,20.5
6037269602,29.0
36005004400,37.0
36081086500,20.2
36047085600,30.8
36081046200,26.6
36005038700,32.0
6037191203,29.8
36047026300,31.4
36081011900,23.9
36005007700,34.2
36047082600,30.9
36047102000,27.3
6037108202,18.0
36029016500,31.6
36047024300,25.9
36047088200,31.7
6037265305,19.0
36081047300,19.5
36081118500,21.7
36005027300,30.5
36047016600,19.5
36061002700,12.5
6037239202,35.8
36061020000,24.6
36081016600,26.9
36047047000,23.6
6037294200,30.1
36029000110,34.3
36081074300,21.7
6037271801,23.0
36047093000,31.0
6037183402,23.4
36081035300,31.9
36047066000,20.0
36047070600,19.9
36081036800,34.0
36081006502,23.2
36081002500,40.2
36061020701,16.7
6037122122,32.5
36047009600,26.7
6037124105,29.4
36029004900,30.6
36081062100,25.9
36047005900,22.7
6037237401,36.5
6037208620,25.2
36081085700,20.3
36047035300,30.7
36047022800,24.8
36047006200,20.3
36047092000,36.7
6037185204,22.5
36005009000,33.8
36047105804,30.6
6037194200,22.2
36081040700,31.9
6037212502,20.6
36047078200,30.2
36047073600,29.0
6037127803,30.8
36081097204,33.8
36047075600,18.8
36081063900,24.5
36047083600,31.0
36061009300,19.9
36061022600,27.7
36047087200,33.2
36005029302,20.8
36047007000,21.8
36047096200,29.5
36005023100,38.3
36061011201,16.5
36047028100,35.0
36081068300,21.7
36081049500,24.5
36061008100,17.0
36085013400,29.9
36047037900,33.3
36081019200,31.2
36061017300,17.9
36085013800,30.1
36047031900,29.0
36081077906,21.2
36081014100,24.4
6037234901,41.6
36081025400,35.9
36081009500,22.3
6037197600,23.1
36047027500,29.2
36081084500,22.8
36081095400,32.6
6037265202,19.9
6037274100,21.2
36047044800,22.1
36005015900,35.6
36047033600,22.5
36061000900,14.2
36081083800,24.9
36081053100,26.6
36047095000,29.5
6037183101,26.9
6037206200,28.9
36081026400,35.8
6037209200,24.4
36081052100,26.4
36005003500,33.6
36047073000,27.1
36047069601,24.5
6037276603,21.5
36081116100,20.2
6037134520,29.6
6037194402,22.1
36005006300,30.4
36081057900,24.9
36047056300,21.8
36005006900,33.3
6037192620,29.8
6037186203,22.2
36081092800,21.5
6037201700,26.2
6037191000,26.1
6037199400,28.3
36047048500,20.4
6037134710,29.3
6037267901,18.7
36081018200,32.2
36047027400,19.5
36081157902,17.4
36005008700,34.5
6037195400,22.6
6037137501,22.4
6037211420,24.6
36085017005,26.7
36085007500,35.3
36047095800,28.9
36085029102,30.4
6037125310,27.0
36061014602,15.5
36081146300,19.5
36061011402,15.8
6037139703,22.1
36047052300,24.5
36081117500,20.0
36081063302,24.5
36047008800,21.7
36081099703,20.1
36047042100,28.5
6037270100,21.0
36005038100,33.1
6037204300,35.5
36081023600,23.9
36047036700,30.7
36061014700,13.9
36047022400,25.4
36081016400,27.8
36047052500,25.9
36081099200,35.7
6037122420,29.7
36081001600,26.0
36081011800,26.1
36047044900,33.3
6037102107,24.5
36047101600,27.2
6037271300,21.0
36047021500,24.0
36047006500,18.2
36005000400,28.2
36047001100,18.0
36081134700,20.1
6037108103,18.9
36085000900,40.2
36029004500,29.8
36047035601,21.5
36047063600,20.6
36047031100,31.9
36061019500,18.1
36081050000,34.0
6037272302,26.6
36047093600,29.0
36047033100,25.5
36047049500,19.1
36047010800,18.5
6037209820,36.7
36061027100,23.2
36081045900,20.4
6037297000,24.6
36081069000,33.3
36061007000,14.3
36081071702,22.0
36047079000,32.9
36005028300,34.3
6037271600,18.8
36081032700,27.4
6037273300,27.5
6037296210,33.8
36047091800,34.5
36047039900,28.6
36081063800,30.3
36047034700,32.3
36061013400,16.5
36081012601,26.3
6037128602,24.9
36061013800,15.6
36081088400,25.0
6037273200,26.7
6037106407,32.8
36085020700,38.5
36047004400,18.0
36081055100,26.1
36085000600,30.6
36081026600,37.2
36047016100,20.3
36081001200,26.2
36081071304,23.6
6037120300,25.2
36081039400,34.1
6037135102,22.4
6037101220,29.2
36061016600,26.0
36081155101,18.0
36081000100,19.3
6037276604,20.8
36047033300,26.0
36081075701,19.0
36047038700,32.0
6037128702,22.7
36005039800,30.1
36005044200,33.0
36081026300,21.6
36047072000,28.3
36029007102,41.1
6037226410,36.6
36005022403,29.4
36047084800,29.4
36061000800,14.7
6037237101,37.3
36085014604,29.2
36047013200,22.7
36005019500,34.2
6037241400,36.9
36081017000,29.2
36047109800,31.4
6037264302,19.9
6037107020,28.2
36061002900,17.6
6037270200,26.7
36047074000,28.0
36005039400,35.4
36047033000,31.9
36047022700,26.2
36047027900,29.4
36081065600,31.8
36005029600,18.5
36029001100,33.4
36081032000,33.6
6037109400,26.2
36047027100,29.8
36081036600,34.0
36081030600,34.1
36085011201,30.9
36047045600,23.0
6037297110,33.0
36047017200,19.1
6037143100,23.1
36061017800,25.0
36005034000,30.7
36081091601,22.1
36047077200,26.0
36081020600,31.2
36081113300,20.5
6037189202,20.7
36061026500,21.8
6037111400,24.5
6037132300,28.2
36081094201,29.2
36085015603,30.4
36047035602,20.8
36081119900,20.8
36061013300,17.1
36029006602,28.2
36047070000,21.1
6037101110,26.9
36081053800,33.0
36005005400,33.4
36081015200,28.8
36047050801,32.9
36081143500,18.9
36047019100,22.3
6037239501,36.1
6037212101,20.5
36081050500,21.1
36081065900,23.3
36047120800,31.6
36005044902,22.2
6037121600,22.2
36005009600,28.2
36061016100,16.8
6037134522,33.1
6037980019,20.7
6037134201,26.3
36061014402,15.7
6037262601,20.2
36047057000,18.4
6037204700,31.0
36081012200,25.5
36081001000,25.9
36005020200,28.4
6037221303,32.4
36081059500,26.6
36081066900,22.6
36081102900,22.8
36081065400,32.5
36047026000,17.9
36029016600,47.5
36081103201,37.2
36081097300,22.8
36081071701,22.5
36081063200,32.5
36081083700,18.4
36047032600,30.3
6037214800,20.3
6037231210,37.1
6037272100,24.3
36081114700,20.6
36005037504,37.2
36081093402,24.6
36061030700,20.9
